#slug: topik3_verbs_2
#emoji: 🤸
#title: TOPIK 중급: глаголы II
#korean: 중급 동사 ②
#kr_read: чунгып тонса
#subtitle: 208 глаголов TOPIK среднего уровня — от 벌리다 до 힘쓰다
#level: 3
#card_desc: Вторая часть глаголов 중급 1500: страдательный залог, работа, чувства и речь
#group: move|Движение и перемещение|이동
#group: action|Действия с предметами|동작
#group: mind|Мысли, чувства, речь|마음
#group: people|Люди и отношения|관계
#group: work|Дела, работа, учёба|일
#group: change|Изменение состояния|변화
action	🤲	벌리다	раскрывать, разводить	팔을 벌렸어요.	Развёл руки.
action	🧥	벗기다	снимать (с кого-то)	아이 옷을 벗겼어요.	Раздел ребёнка.
move	🚀	벗어나다	вырваться, выйти за пределы	위기에서 벗어났어요.	Вышел из кризиса.
action	🔪	베다	резать, порезаться	칼에 손을 베었어요.	Порезал руку ножом.
change	🔄	변하다	меняться, превращаться	마음이 변했어요.	Чувства изменились.
change	🤒	병들다	заболевать	나무가 병들었어요.	Дерево заболело.
people	🤱	보살피다	заботиться, ухаживать	환자를 보살펴요.	Ухаживаю за больным.
change	👀	보이다	быть видимым, показывать	여기서 산이 보여요.	Отсюда видно горы.
change	💥	부딪히다	столкнуться, врезаться	차에 부딪혔어요.	Врезался в машину.
change	🦴	부러지다	ломаться, надламываться	팔이 부러졌어요.	Сломал руку.
change	🧱	부서지다	разбиваться вдребезги	의자가 부서졌어요.	Стул развалился.
change	📈	불어나다	прибывать, разрастаться	강물이 불어났어요.	Река поднялась.
action	🔥	불태우다	сжигать, гореть (страстью)	열정을 불태웠어요.	Горел энтузиазмом.
change	🚇	붐비다	быть переполненным	지하철이 붐벼요.	В метро толчея.
action	✊	붙잡다	хватать, удерживать	손을 붙잡았어요.	Схватил за руку.
change	🚔	붙잡히다	быть пойманным	범인이 붙잡혔어요.	Преступника поймали.
action	🍚	비비다	тереть, перемешивать	밥을 비벼 먹어요.	Ем перемешанный рис.
action	🗑️	비우다	опустошать, освобождать	방을 비웠어요.	Освободил комнату.
action	🔦	비추다	освещать	손전등을 비췄어요.	Посветил фонариком.
change	🪞	비치다	отражаться, просвечивать	거울에 얼굴이 비쳤어요.	Лицо отразилось в зеркале.
move	↪️	비키다	посторониться	옆으로 비켜 주세요.	Отойдите в сторону.
mind	🙏	빌다	молить, загадывать	소원을 빌었어요.	Загадал желание.
