#slug: topik3_nouns_3
#emoji: 📙
#title: TOPIK 중급: существительные III
#korean: 중급 명사 ③
#kr_read: чунгып мёнса
#subtitle: 196 существительных TOPIK среднего уровня — от 엊그제 до 희생자
#level: 3
#card_desc: Третья часть списка 중급 1500: характер, учёба, экономика, здоровье и традиции
#group: society|Общество и государство|사회
#group: work|Работа, деньги, экономика|경제
#group: study|Учёба и знания|학습
#group: person|Человек, характер, чувства|사람
#group: life|Быт, город, еда|생활
#group: nature|Природа и здоровье|자연
#group: idea|Понятия и качества|개념
idea	📆	엊그제	на днях, позавчера	엊그제 만났어요.	Виделись на днях.
life	🎣	여가	досуг	여가를 즐겨요.	Наслаждаюсь досугом.
person	😌	여유	запас времени, спокойствие	마음의 여유가 없어요.	Нет душевного спокойствия.
society	📜	역사적	исторический	역사적인 순간이에요.	Это исторический момент.
idea	🎭	역할	роль	중요한 역할을 해요.	Играет важную роль.
study	🔬	연구	исследование	연구를 계속해요.	Продолжаю исследование.
person	🧓	연상	старше по возрасту	연상의 친구예요.	Это друг старше меня.
idea	➿	연속	череда, подряд	3일 연속 비가 와요.	Дождь идёт три дня подряд.
nature	🌴	열대야	тропическая ночь	열대야에 잠을 못 잤어요.	Не спал из-за душной ночи.
idea	🗺️	영역	область, сфера	새로운 영역이에요.	Это новая сфера.
idea	🌊	영향	влияние	영향을 많이 받았어요.	Испытал сильное влияние.
idea	❕	예외	исключение	예외는 없어요.	Исключений нет.
nature	🛢️	오염	загрязнение	물이 오염됐어요.	Вода загрязнена.
person	🤔	오해	недоразумение	오해를 풀었어요.	Разрешили недоразумение.
life	♨️	온돌	ондоль, тёплый пол	온돌방이 따뜻해요.	Комната с ондолем тёплая.
work	🏁	완성	завершение	작품을 완성했어요.	Завершил работу.
society	✊	요구	требование	요구를 들어줬어요.	Требование выполнили.
study	📝	요약	краткое изложение	내용을 요약하세요.	Изложите содержание кратко.
work	🙏	요청	просьба, запрос	요청을 받았어요.	Получил запрос.
person	🤑	욕심	жадность, алчность	욕심이 많아요.	Он очень жадный.
person	🦁	용기	смелость	용기를 냈어요.	Набрался смелости.
person	🕊️	용서	прощение	용서를 빌었어요.	Просил прощения.
idea	1️⃣	우선	прежде всего	우선 밥부터 먹어요.	Прежде всего поедим.
idea	🏅	우수성	превосходство	제품의 우수성을 알렸어요.	Рассказал о превосходстве продукта.
life	🏆	우승	чемпионство, победа	우승을 차지했어요.	Завоевал первое место.
nature	🌧️	우울증	депрессия	우울증을 치료해요.	Лечит депрессию.
person	🤝	우정	дружба	우정이 깊어요.	Дружба крепкая.
nature	🌌	우주	космос, вселенная	우주를 탐험해요.	Исследуем космос.
idea	🔮	운명	судьба	운명을 믿어요.	Верю в судьбу.
idea	🔎	원인	причина	원인을 찾았어요.	Нашли причину.
person	🫂	위로	утешение	위로가 됐어요.	Это стало утешением.
society	🚫	위반	нарушение	교통 법규 위반이에요.	Это нарушение ПДД.
person	🙏	은혜	благодеяние, милость	은혜를 잊지 않을게요.	Не забуду вашей доброты.
idea	💬	의견	мнение	의견을 말해 주세요.	Выскажите мнение.
society	📜	의무	обязанность	국민의 의무예요.	Это обязанность гражданина.
person	💬	의사소통	коммуникация, общение	의사소통이 잘돼요.	Общение налажено.
life	🏠	의식주	еда, одежда и жильё	의식주가 기본이에요.	Еда, одежда и жильё — основа.
person	🔥	의욕	рвение, мотивация	의욕이 넘쳐요.	Полон энтузиазма.
person	💪	의지	воля	의지가 강해요.	Сильная воля.
life	🏝️	이국적	экзотический	이국적인 분위기예요.	Экзотическая атмосфера.
person	😒	이기적	эгоистичный	너무 이기적이에요.	Он слишком эгоистичен.
work	🧑‍💻	이용자	пользователь	이용자가 늘었어요.	Пользователей стало больше.
work	💹	이익	выгода, прибыль	이익이 많이 났어요.	Получили большую прибыль.
work	🏦	이자	проценты (по вкладу)	이자가 붙어요.	Начисляются проценты.
study	🧠	이해력	способность понимать	이해력이 뛰어나요.	Отлично всё схватывает.
person	💞	이해심	чуткость, понимание	이해심이 깊어요.	Он очень понимающий.
person	🫀	인간성	человечность	인간성이 좋아요.	Он хороший человек.
person	🤗	인간적	человечный	인간적인 사람이에요.	Это человечный человек.
person	🧘	인내심	терпение	인내심이 필요해요.	Нужно терпение.
idea	✨	인상적	впечатляющий	인상적인 장면이에요.	Это впечатляющая сцена.
person	🌅	인생	жизнь человека	인생은 짧아요.	Жизнь коротка.
work	🖨️	인쇄	печать	자료를 인쇄했어요.	Распечатал материалы.
idea	📚	일반적	общий, обычный	일반적인 경우예요.	Это обычный случай.
idea	🧩	일부	часть	일부만 이해했어요.	Понял только часть.
life	🔄	일상적	повседневный	일상적인 대화예요.	Это обычный бытовой разговор.
person	🌳	일생	вся жизнь	일생을 바쳤어요.	Посвятил этому всю жизнь.
idea	⏳	임시	временный	임시로 쓰는 방이에요.	Это временная комната.
life	🎫	입장료	входная плата	입장료가 얼마예요?	Сколько стоит вход?
work	🪪	자격	квалификация, право	자격이 있어요.	У него есть квалификация.
life	🌶️	자극적	острый, раздражающий	자극적인 음식을 피하세요.	Избегайте острой пищи.
person	🧍	자세	поза, осанка	자세가 바르네요.	Хорошая осанка.
person	💪	자신감	уверенность в себе	자신감이 생겼어요.	Появилась уверенность.
nature	🍃	자연적	природный, естественный	자연적인 현상이에요.	Это природное явление.
nature	⛏️	자원	ресурсы	자원이 부족해요.	Ресурсов не хватает.
person	👑	자존심	самолюбие, гордость	자존심이 상했어요.	Задели самолюбие.
person	🗯️	잔소리	нотации, придирки	잔소리 좀 그만해요.	Хватит нотаций.
idea	📅	장기적	долгосрочный	장기적으로 봐야 해요.	Надо смотреть в долгую.
work	🏪	장사	торговля	장사가 잘돼요.	Торговля идёт хорошо.
work	🏠	재산	имущество, состояние	재산을 모았어요.	Скопил состояние.
person	🎪	재주	талант, дар	재주가 많아요.	У него много талантов.
nature	🌪️	재해	стихийное бедствие	재해를 입었어요.	Пострадали от бедствия.
work	💾	저장	сохранение, хранение	파일을 저장했어요.	Сохранил файл.
person	🙋	적극적	активный, деятельный	적극적으로 참여해요.	Активно участвует.
idea	🔭	전망	перспектива, вид	전망이 좋아요.	Отличный вид.
work	🎓	전문가	эксперт, специалист	전문가에게 물어보세요.	Спросите специалиста.
