#slug: korea_realia
#emoji: 🇰🇷
#title: Реалии Кореи: места, услуги, связь
#korean: 한국 생활 어휘
#kr_read: хангук сэнхваль охви
#subtitle: 55 слов начального уровня — районы и заведения, праздники, доставка, звонки
#level: 1
#card_desc: Каннам и Хэундэ, Хангыль-наль и Кэчхонджоль, доставка и заказы, SMS и объявления
#group: place|Места, районы, заведения|장소
#group: holiday|Праздники и традиции|명절
#group: service|Услуги, заказы, транспорт|서비스
#group: phone|Связь и объявления|연락
#group: people|Люди и специальности|사람
#group: misc|Погода, еда, досуг|기타
#group: form|Формы и выражения|표현
place	🌃	강남	Каннам (район Сеула)	강남에서 친구를 만나요.	Встречаюсь с другом в Каннаме.
place	🏔️	강원도	провинция Канвондо	강원도는 산이 많아요.	В Канвондо много гор.
place	🌊	동해안	восточное побережье	동해안으로 여행 갔어요.	Съездил на восточное побережье.
place	🏖️	해운대	Хэундэ (пляж в Пусане)	해운대에 사람이 많아요.	На Хэундэ много людей.
place	🐟	자갈치시장	рынок Чагальчхи	자갈치시장에서 생선을 샀어요.	Купил рыбу на рынке Чагальчхи.
place	🎓	이대	университет Ихва (Идэ)	이대 앞에서 만나요.	Встретимся у Идэ.
place	🎭	정동극장	театр Чондон	정동극장에서 공연을 봐요.	Смотрю спектакль в театре Чондон.
place	🖼️	시립미술관	городской музей искусств	시립미술관에 갔어요.	Сходил в городской музей искусств.
place	🌿	식물원	ботанический сад	식물원이 아름다워요.	Ботанический сад красивый.
place	🐠	수족관	аквариум, океанариум	수족관에서 물고기를 봤어요.	Смотрел рыб в океанариуме.
place	🥋	태권도장	зал тхэквондо	태권도장에 다녀요.	Хожу в зал тхэквондо.
place	💻	컴퓨터실	компьютерный класс	컴퓨터실에서 숙제를 해요.	Делаю домашку в компьютерном классе.
place	🍚	학생식당	студенческая столовая	학생식당은 값이 싸요.	В студенческой столовой дёшево.
place	🍲	한식집	ресторан корейской кухни	한식집에서 점심을 먹었어요.	Пообедал в корейском ресторане.
place	👕	옷가게	магазин одежды	옷가게에서 셔츠를 샀어요.	Купил рубашку в магазине одежды.
place	🚪	후문	задние ворота, задний вход	후문에서 기다릴게요.	Подожду у задних ворот.
place	🏨	콘도	кондо, апартаменты для отдыха	콘도를 예약했어요.	Забронировал апартаменты.
place	📸	관광지	туристическое место	유명한 관광지예요.	Это известное туристическое место.
place	📰	신문사	редакция газеты	신문사에서 일해요.	Работаю в редакции газеты.
place	🌐	무역회사	торговая компания	무역회사에 다녀요.	Работаю в торговой компании.
holiday	🇰🇷	개천절	Кэчхонджоль, День основания	개천절은 시월 삼 일이에요.	Кэчхонджоль — третье октября.
holiday	🔤	한글날	Хангыль-наль, День алфавита	한글날에 행사가 많아요.	В День хангыля много мероприятий.
holiday	🎎	민속	народные традиции, фольклор	민속 마을을 구경했어요.	Осмотрел фольклорную деревню.
holiday	🌺	카네이션	гвоздика (в День родителей)	어버이날에 카네이션을 드려요.	В День родителей дарят гвоздики.
service	🛵	배달하다	доставлять	치킨을 배달해요.	Доставляют курицу.
service	🎟️	예매하다	бронировать билет заранее	기차표를 예매했어요.	Заранее купил билет на поезд.
service	📝	주문	заказ	주문을 확인해 주세요.	Проверьте, пожалуйста, заказ.
service	❌	취소	отмена	예약을 취소했어요.	Отменил бронь.
service	🚏	하차	высадка, выход из транспорта	다음 정류장에서 하차하세요.	Выходите на следующей остановке.
service	🚕	택시요금	плата за такси	택시요금이 올랐어요.	Проезд в такси подорожал.
service	📢	안내방송	объявление по громкой связи	안내방송을 잘 들으세요.	Внимательно слушайте объявление.
service	🗺️	국내여행	путешествие по стране	이번 방학에 국내여행을 해요.	На каникулах путешествую по стране.
phone	💬	문자메시지	SMS, текстовое сообщение	문자메시지를 보냈어요.	Отправил сообщение.
phone	🎙️	음성메시지	голосовое сообщение	음성메시지를 남기세요.	Оставьте голосовое сообщение.
phone	🔔	따르릉	дзинь-дзинь (звонок)	따르릉, 전화가 왔어요.	Дзинь-дзинь — телефон звонит.
